URL,HTTP Status Code,Response Time (s),Crawl Timestamp,HTML Title,Canonical URL,robots Directive,Content Type,Page Size (Raw/Compressed Bytes),Page Size (Uncompressed Bytes)
https://a-z-animals.com/animals/,200,0.204,2025-10-11 19:36:22.762098+00:00,All Animals A-Z List - Animal Names | AZ Animals,https://a-z-animals.com/animals/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,95385,571908
https://a-z-animals.com/animals/animals-that-start-with-a/,200,0.181,2025-10-11 19:36:24.998047+00:00,"Animals That Start with A - Listed With Pictures, Facts - A-Z Animals",https://a-z-animals.com/animals/animals-that-start-with-a/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,71556,394225
https://a-z-animals.com/animals/aardvark/,200,0.119,2025-10-11 19:36:27.121609+00:00,Aardvark Animal Facts - Orycteropus afer - A-Z Animals,https://a-z-animals.com/animals/aardvark/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,65626,287251
https://a-z-animals.com/animals/aardwolf/,200,0.091,2025-10-11 19:36:29.216700+00:00,Aardwolf Animal Facts - Proteles cristata - A-Z Animals,https://a-z-animals.com/animals/aardwolf/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61550,267315
https://a-z-animals.com/animals/abyssinian/,200,0.12,2025-10-11 19:36:31.340401+00:00,Abyssinian Cat Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/abyssinian/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,64483,278255
https://a-z-animals.com/animals/abyssinian-guinea-pig/,200,0.113,2025-10-11 19:36:33.457600+00:00,Abyssinian Guinea Pig Animal Facts - Cavia porcellus - A-Z Animals,https://a-z-animals.com/animals/abyssinian-guinea-pig/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60985,264657
https://a-z-animals.com/animals/acadian-flycatcher/,200,0.113,2025-10-11 19:36:35.573408+00:00,Acadian Flycatcher Bird Facts - Empidonax virescens - A-Z Animals,https://a-z-animals.com/animals/acadian-flycatcher/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59695,264078
https://a-z-animals.com/animals/achrioptera-manga/,200,0.118,2025-10-11 19:36:37.694815+00:00,Achrioptera Manga Insect Facts - Achrioptera manga - A-Z Animals,https://a-z-animals.com/animals/achrioptera-manga/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60344,266074
https://a-z-animals.com/animals/ackie-monitor/,200,0.107,2025-10-11 19:36:39.805295+00:00,Ackie Monitor Animal Facts - Varanthus acanthurus - A-Z Animals,https://a-z-animals.com/animals/ackie-monitor/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61962,269131
https://a-z-animals.com/animals/addax/,200,0.108,2025-10-11 19:36:41.916243+00:00,Addax Animal Facts - Addax nasomaculatus - A-Z Animals,https://a-z-animals.com/animals/addax/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60983,266513
https://a-z-animals.com/animals/adelie-penguin/,200,0.109,2025-10-11 19:36:44.028616+00:00,Adélie Penguin Bird Facts - Pygoscelis adeliae - A-Z Animals,https://a-z-animals.com/animals/adelie-penguin/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63179,281413
https://a-z-animals.com/animals/admiral-butterfly/,200,0.126,2025-10-11 19:36:46.159107+00:00,Admiral Butterfly Insect Facts - A-Z Animals,https://a-z-animals.com/animals/admiral-butterfly/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60392,262982
https://a-z-animals.com/animals/aesculapian/,200,0.129,2025-10-11 19:36:48.291765+00:00,Aesculapian Snake Animal Facts - Zamenis longissimus - A-Z Animals,https://a-z-animals.com/animals/aesculapian/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60146,261758
https://a-z-animals.com/animals/affenpinscher/,200,0.115,2025-10-11 19:36:50.410609+00:00,Affenpinscher Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/affenpinscher/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69407,323470
https://a-z-animals.com/animals/afghan-hound/,200,0.155,2025-10-11 19:36:52.571703+00:00,Afghan Hound Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/afghan-hound/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69037,323244
https://a-z-animals.com/animals/african-bullfrog/,200,0.11,2025-10-11 19:36:54.684701+00:00,African Bullfrog Animal Facts - Pyxicephalus adspersus - A-Z Animals,https://a-z-animals.com/animals/african-bullfrog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63160,278406
https://a-z-animals.com/animals/african-bush-elephant/,200,0.096,2025-10-11 19:36:56.784634+00:00,African Bush Elephant Animal Facts - Loxodonta africana africana - A-Z Animals,https://a-z-animals.com/animals/african-bush-elephant/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,64409,286915
